unit,unit_title,round,round_title,en,cn,page
1,Li Ming Goes to Canada,1,机场与行程,Li Ming arrives today!,李明今天到达！,2
1,Li Ming Goes to Canada,1,机场与行程,He is coming to Canada!,他要来加拿大！,2
1,Li Ming Goes to Canada,1,机场与行程,He wants to go to school in Canada.,他想去加拿大学校上学。,2
1,Li Ming Goes to Canada,1,机场与行程,Li Ming arrives today!,李明今天到达！,2
1,Li Ming Goes to Canada,1,机场与行程,Today is September 1.,今天是9月1日。,2
1,Li Ming Goes to Canada,1,机场与行程,He will go home on June 25.,他将在6月25日回家。,2
1,Li Ming Goes to Canada,1,机场与行程,That's ten months!,那是十个月！,2
1,Li Ming Goes to Canada,1,机场与行程,It's half past four.,现在是四点半。,2
1,Li Ming Goes to Canada,1,机场与行程,Li Ming's plane will arrive at five o'clock.,李明的飞机将在五点到达。,2
1,Li Ming Goes to Canada,1,机场与行程,It's 5:15.,现在是5:15。,2
1,Li Ming Goes to Canada,1,机场与行程,I see him!,我看到他了！,2
1,Li Ming Goes to Canada,1,机场与行程,There he is!,他在那儿！,2
1,Li Ming Goes to Canada,1,机场与行程,Did you have a good trip?,你旅途愉快吗？,2
1,Li Ming Goes to Canada,1,机场与行程,Yes, thanks, but I'm tired.,是的，谢谢，但我累了。,2
1,Li Ming Goes to Canada,1,机场与行程,Nice to see you!,很高兴见到你！,2
1,Li Ming Goes to Canada,1,机场与行程,Let's go home.,我们回家吧。,2
1,Li Ming Goes to Canada,2,房屋与房间,Here's my house, Li Ming!,李明，这是我的房子！,4
1,Li Ming Goes to Canada,2,房屋与房间,There is a living room, a kitchen, and a bathroom on the first floor.,一楼有一间客厅、一间厨房和一间浴室。,4
1,Li Ming Goes to Canada,2,房屋与房间,This is the living room.,这是客厅。,4
1,Li Ming Goes to Canada,2,房屋与房间,This is the kitchen.,这是厨房。,4
1,Li Ming Goes to Canada,2,房屋与房间,Here's the bathroom.,这是浴室。,4
1,Li Ming Goes to Canada,2,房屋与房间,There is a toilet.,有一个马桶。,4
1,Li Ming Goes to Canada,2,房屋与房间,There are four bedrooms and a study on the second floor.,二楼有四间卧室和一间书房。,4
1,Li Ming Goes to Canada,2,房屋与房间,This is my bedroom.,这是我的卧室。,4
1,Li Ming Goes to Canada,2,房屋与房间,That is your bedroom!,那是你的卧室！,4
1,Li Ming Goes to Canada,2,房屋与房间,This is the study.,这是书房。,4
1,Li Ming Goes to Canada,2,房屋与房间,I make lunch in the kitchen.,我在厨房做午饭。,4
1,Li Ming Goes to Canada,2,房屋与房间,I do my homework in the study.,我在书房做作业。,4
1,Li Ming Goes to Canada,2,房屋与房间,There are six rooms.,有六个房间。,4
1,Li Ming Goes to Canada,2,房屋与房间,There is a living room.,有一间客厅。,4
1,Li Ming Goes to Canada,2,房屋与房间,There is a kitchen.,有一间厨房。,4
1,Li Ming Goes to Canada,2,房屋与房间,There is a bathroom.,有一间浴室。,4
1,Li Ming Goes to Canada,3,早餐与食物,Good morning, Li Ming and Jenny!,李明、詹妮，早上好！,6
1,Li Ming Goes to Canada,3,早餐与食物,What time is it?,现在几点？,6
1,Li Ming Goes to Canada,3,早餐与食物,It's half past seven.,现在是七点半。,6
1,Li Ming Goes to Canada,3,早餐与食物,Time for breakfast!,该吃早餐了！,6
1,Li Ming Goes to Canada,3,早餐与食物,What would you like for breakfast, Li Ming?,李明，你早餐想吃什么？,6
1,Li Ming Goes to Canada,3,早餐与食物,I'd like some eggs, bread and juice, please.,请给我一些鸡蛋、面包和果汁。,6
1,Li Ming Goes to Canada,3,早餐与食物,What would you like for breakfast, Jenny?,詹妮，你早餐想吃什么？,6
